1,24/01/2024,Vente,"195500,00",2.0,,4400,RENE PAYOT,25000,BESANCON,25,56,,CX,147,,28.0,,73.0,,,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,24/01/2024,Vente,"195500,00",2.0,,4400,RENE PAYOT,25000,BESANCON,25,56,,CX,147,,28.0,,73.0,,,,,,,,2,2.0,,0.15460442437355668,1.2246786043706395,,-0.0006982601324978525,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,13/02/2024,Vente,"186000,00",13.0,,2715,DE L'ILE AUX MOINEAUX,25000,BESANCON,25,56,,CX,205,,34.0,,,,,,,,,,1,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,13/02/2024,Vente,"186000,00",11.0,,2715,DE L'ILE AUX MOINEAUX,25000,BESANCON,25,56,,CX,205,,106.0,,141.0,,,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,13/02/2024,Vente,"186000,00",11.0,,2715,DE L'ILE AUX MOINEAUX,25000,BESANCON,25,56,,CX,205,,106.0,,141.0,,,,,,,,2,2.0,,0.07509515634762791,1.2246786043706395,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,14/02/2024,Vente,"82500,00",46.0,,2860,JEAN WYRSCH,25000,BESANCON,25,56,,BK,166,,162.0,,172.0,,,,,,,,2,3.0,,-0.1598185900926162,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
1,14/02/2024,Vente,"82500,00",46.0,,2860,JEAN WYRSCH,25000,BESANCON,25,56,,BK,166,,162.0,,172.0,,,,,,,,2,2.0,,0.11123573272305008,1.8480074848435637,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,14/02/2024,Vente,"180000,00",173.0,,390,DE BELFORT,25000,BESANCON,25,56,,BR,276,,,,,,,,,,,,0,1.0,,0.08593732926025456,1.8480074848435637,POTAG,-0.5092298953372274,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1,14/02/2024,Vente,"180000,00",173.0,,390,DE BELFORT,25000,BESANCON,25,56,,BR,276,,,,,,,,,,,,0,1.0,,0.08593732926025456,1.8480074848435637,,-0.8320627575352145,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,15/02/2024,Vente,"400000,00",11.0,,85,ALFRED DE VIGNY,25000,BESANCON,25,56,,EN,513,,100.0,"5,23",101.0,"102,13",102.0,"1,82",103.0,"101,67",15.0,,17,4.0,,0.8195910296813247,-0.645308037048133,,-0.0006982601324978525,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
