No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,16/05/2024,Vente,"140208,00",9,,RUE,3215,DE LUXEMBOURG,25000,BESANCON,25,56,,LR,366,,,,,,,,,,,,0,,,,,,S,,1477
1,16/05/2024,Vente,"140208,00",11,,RUE,3215,DE LUXEMBOURG,25000,BESANCON,25,56,,LR,368,,,,,,,,,,,,0,,,,,,S,,356
1,16/05/2024,Vente,"140208,00",11,,RUE,3215,DE LUXEMBOURG,25000,BESANCON,25,56,,LR,370,,,,,,,,,,,,0,,,,,,S,,190
1,16/05/2024,Vente,"140208,00",,,RUE,4001,DE PIEMONT,25000,BESANCON,25,56,,LR,373,,,,,,,,,,,,0,,,,,,AG,IMM,641
1,16/05/2024,Vente,"140208,00",,,RUE,4001,DE PIEMONT,25000,BESANCON,25,56,,LR,374,,,,,,,,,,,,0,,,,,,AG,IMM,257
1,14/05/2024,Vente,"55000,00",9,B,AV,3510,DE MONTJOUX,25000,BESANCON,25,56,,HW,621,,1,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,14/05/2024,Vente,"55000,00",9,B,AV,3510,DE MONTJOUX,25000,BESANCON,25,56,,HW,621,,2,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,14/05/2024,Vente,"55000,00",9,B,AV,3510,DE MONTJOUX,25000,BESANCON,25,56,,HW,621,,3,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,14/05/2024,Vente,"55000,00",9,B,AV,3510,DE MONTJOUX,25000,BESANCON,25,56,,HW,621,,4,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,27/05/2024,Vente,"13500,00",4,,RUE,3714,OLYMPE DE GOUGES,25000,BESANCON,25,56,,CO,136,,872,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,27/05/2024,Vente,"13500,00",4,,RUE,3714,OLYMPE DE GOUGES,25000,BESANCON,25,56,,CO,136,,871,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,27/05/2024,Vente,"13500,00",4,,RUE,3714,OLYMPE DE GOUGES,25000,BESANCON,25,56,,CO,136,,873,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,16/05/2024,Vente,"594,00",,,,B137,AUX EQUEUGNIERS,25000,BESANCON,25,56,,LO,35,,,,,,,,,,,,0,,,,,,L,,276
1,16/05/2024,Vente,"594,00",,,,B137,AUX EQUEUGNIERS,25000,BESANCON,25,56,,LO,36,,,,,,,,,,,,0,,,,,,L,,467
1,16/05/2024,Vente,"109228,00",58,,RUE,820,DE CHALEZEULE,25000,BESANCON,25,56,,CM,349,,313,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,16/05/2024,Vente,"109228,00",58,,RUE,820,DE CHALEZEULE,25000,BESANCON,25,56,,CM,349,,187,"76,83",188,,189,,,,,,3,2,Appartement,,76,4,,,
1,16/05/2024,Vente,"109228,00",58,,RUE,820,DE CHALEZEULE,25000,BESANCON,25,56,,CM,349,,187,"76,83",188,,189,,,,,,3,3,Dépendance,,0,0,,,
1,16/05/2024,Vente,"109228,00",58,,RUE,820,DE CHALEZEULE,25000,BESANCON,25,56,,CM,349,,187,"76,83",188,,189,,,,,,3,3,Dépendance,,0,0,,,
1,22/05/2024,Vente,"115000,00",30,,RUE,175,ANNE FRANK,25000,BESANCON,25,56,,CI,56,,,,,,,,,,,,0,1,Maison,,83,4,S,,612
1,22/05/2024,Vente,"115000,00",30,,RUE,175,ANNE FRANK,25000,BESANCON,25,56,,CI,56,,,,,,,,,,,,0,1,Maison,,83,4,P,,306
1,16/05/2024,Vente,"171500,00",11,B,AV,3185,LOUISE MICHEL,25000,BESANCON,25,56,,IK,43,,216,"70,50",73,,,,,,,,2,3,Dépendance,,0,0,,,
1,16/05/2024,Vente,"171500,00",11,,AV,3185,LOUISE MICHEL,25000,BESANCON,25,56,,IK,43,,4,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,16/05/2024,Vente,"171500,00",11,B,AV,3185,LOUISE MICHEL,25000,BESANCON,25,56,,IK,43,,216,"70,50",73,,,,,,,,2,2,Appartement,,70,3,,,
1,23/05/2024,Vente,"210000,00",13,A,CHE,3570,DES MOTTES,25000,BESANCON,25,56,,ET,134,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,586
1,23/05/2024,Vente,"210000,00",13,A,CHE,3570,DES MOTTES,25000,BESANCON,25,56,,ET,134,,,,,,,,,,,,0,1,Maison,,96,4,S,,586
1,24/05/2024,Vente,"92000,00",8,,RUE,4305,DES 4 VENTS,25000,BESANCON,25,56,,BN,89,,93,"63,14",94,,95,,,,,,3,2,Appartement,,65,3,,,
1,24/05/2024,Vente,"92000,00",8,,RUE,4305,DES 4 VENTS,25000,BESANCON,25,56,,BN,89,,93,"63,14",94,,95,,,,,,3,3,Dépendance,,0,0,,,
1,24/05/2024,Vente,"92000,00",8,,RUE,4305,DES 4 VENTS,25000,BESANCON,25,56,,BN,89,,93,"63,14",94,,95,,,,,,3,3,Dépendance,,0,0,,,
1,23/05/2024,Vente,"72000,00",151,,RUE,390,DE BELFORT,25000,BESANCON,25,56,,BR,463,,4,"54,60",5,,,,,,,,2,2,Appartement,,68,3,,,
1,23/05/2024,Vente,"72000,00",151,,RUE,390,DE BELFORT,25000,BESANCON,25,56,,BR,463,,7,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,23/05/2024,Vente,"72000,00",151,,RUE,390,DE BELFORT,25000,BESANCON,25,56,,BR,464,,,,,,,,,,,,0,,,,,,S,,186
2,14/05/2024,Vente,"4240861,00",5,,RUE,1284,GERARD MANTION,25000,BESANCON,25,56,,NT,459,,3,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,,300,0,,,
2,14/05/2024,Vente,"4240861,00",5,,RUE,1284,GERARD MANTION,25000,BESANCON,25,56,,NT,459,,3,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,,460,0,,,
2,14/05/2024,Vente,"4240861,00",,,,B265,SOUS LES MONTBOUCONS,25000,BESANCON,25,56,,NT,462,,,,,,,,,,,,0,,,,,,P,,132
1,11/6/24,Vente,"100000,00",2,C,RUE,4790,STEPHANE MALLARME,25000,BESANCON,25,56,,HO,76,,391,,401,,411,,,,,,3,2,Appartement,,55,3,,,
1,11/6/24,Vente,"100000,00",2,C,RUE,4790,STEPHANE MALLARME,25000,BESANCON,25,56,,HO,76,,391,,401,,411,,,,,,3,3,Dépendance,,0,0,,,
1,11/6/24,Vente,"100000,00",2,C,RUE,4790,STEPHANE MALLARME,25000,BESANCON,25,56,,HO,76,,391,,401,,411,,,,,,3,3,Dépendance,,0,0,,,
1,6/6/24,Vente,"895600,00",,,RUE,1273,CLEMENT MAROT,25000,BESANCON,25,56,,EN,522,,,,,,,,,,,,0,,,,,,AB,,332
1,6/6/24,Vente,"895600,00",25,,RUE,1273,CLEMENT MAROT,25000,BESANCON,25,56,,EN,564,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,970,0,S,,2068
1,6/6/24,Vente,"895600,00",25,,RUE,1273,CLEMENT MAROT,25000,BESANCON,25,56,,EN,567,,,,,,,,,,,,0,,,,,,S,,794
1,30/05/2024,Vente,"122005,00",9,,RUE,4940,TREMOLIERES,25000,BESANCON,25,56,,BS,199,,122,,,,,,,,,,1,3,Dépendance,,0,0,,,
1,30/05/2024,Vente,"122005,00",9,,RUE,4940,TREMOLIERES,25000,BESANCON,25,56,,BS,199,,2,"61,94",46,,86,,,,,,3,3,Dépendance,,0,0,,,
