Valeur fonciere,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
"110570,00",368.0,,384.0,"56,67",2,2.0,Appartement,64.0,3.0,,
"6000,00",2017.0,,,,1,,,,,,
"76000,00",27.0,,,,1,4.0,Local industriel. commercial ou assimilé,76.0,0.0,,
"21240,00",,,,,0,,,,,P,247.0
"25000,00",339.0,,,,1,3.0,Dépendance,0.0,0.0,,
"90000,00",27.0,,,,1,3.0,Dépendance,0.0,0.0,,
"90000,00",23.0,"30,97",,,1,2.0,Appartement,31.0,2.0,,
"178000,00",48.0,,,,1,4.0,Local industriel. commercial ou assimilé,53.0,0.0,,
"178000,00",44.0,,49.0,,2,4.0,Local industriel. commercial ou assimilé,81.0,0.0,,
"178000,00",43.0,,50.0,,2,4.0,Local industriel. commercial ou assimilé,50.0,0.0,,
"214620,00",222.0,,,,1,3.0,Dépendance,0.0,0.0,,
"214620,00",83.0,,99.0,"87,07",2,2.0,Appartement,89.0,4.0,,
"214620,00",83.0,,99.0,"87,07",2,3.0,Dépendance,0.0,0.0,,
"600000,00",,,,,0,2.0,Appartement,79.0,2.0,S,543.0
"600000,00",,,,,0,2.0,Appartement,81.0,2.0,S,543.0
"600000,00",,,,,0,2.0,Appartement,80.0,2.0,S,543.0
"105150,00",45.0,,55.0,,2,2.0,Appartement,68.0,4.0,,
"105150,00",45.0,,55.0,,2,3.0,Dépendance,0.0,0.0,,
"8000,00",13.0,,,,1,3.0,Dépendance,0.0,0.0,,
"8000,00",14.0,,,,1,3.0,Dépendance,0.0,0.0,,
"125000,00",24.0,"87,95",,,1,2.0,Appartement,88.0,4.0,,
"12000,00",40.0,,,,1,3.0,Dépendance,0.0,0.0,,
"96400,00",32.0,,5.0,"53,43",2,2.0,Appartement,53.0,2.0,,
"4000,00",211.0,,,,1,3.0,Dépendance,0.0,0.0,,
"4000,00",211.0,,,,1,2.0,Appartement,183.0,5.0,,
"4000,00",211.0,,,,1,3.0,Dépendance,0.0,0.0,,
"202000,00",17.0,,,,1,3.0,Dépendance,0.0,0.0,,
"202000,00",104.0,"66,91",,,1,2.0,Appartement,67.0,3.0,,
"55500,00",49.0,,54.0,,2,2.0,Appartement,16.0,1.0,,
"152500,00",4.0,,5.0,,6,2.0,Appartement,40.0,2.0,,
"152500,00",21.0,,22.0,,2,3.0,Dépendance,0.0,0.0,,
"107000,00",27.0,"62,57",34.0,,2,3.0,Dépendance,0.0,0.0,,
"107000,00",27.0,"62,57",34.0,,2,2.0,Appartement,63.0,3.0,,
